metab,sperm60,sperm84,sperm90,sperm92,sperm104,sperm105,sperm110,sperm119,sperm123,sperm131,sperm132,sperm144,sperm151,sperm154,sperm155,sperm160,sperm164,sperm169,sperm177
Ureidopropionate,1048.574429,6191.062012,670.5216895,440.5228278,5157.611433,1801.820649,511.5144817,4765.470055,745.9679828,4243.028054,1151.855616,5315.459377,3338.958533,1511.443566,551.8333872,847.4640863,2359.973572,4259.89123,1143.857718
1-Methyladenosine,1880018.752,694476.4303,140697.6918,1362542.093,1627920.665,1041363.455,1106415.903,1267730.869,1693444.144,1856542.867,2084214.902,2991992.292,685700.9785,829603.4591,588979.9417,1175997.687,2256729.012,1334218.945,1008501.39
Decanoylcarnitine,54859.85784,112195.0897,39771.37988,33740.29962,33220.37579,54550.89175,44209.14648,71729.6771,18497.64743,133930.7129,43504.64018,87477.63681,51108.48059,36250.72545,14921.92236,34629.29637,70952.05683,88867.21874,35962.22826
5'-Deoxyadenosine,31785.90027,36217.18379,5252.784886,93374.64803,147769.2035,123328.3303,32057.85911,53393.17771,76009.25485,38878.68718,69767.18973,118754.1264,1807.578622,19453.38419,45761.38351,46981.67359,7739.64737,69306.24657,108912.9929
Deoxyadenosine,31785.90027,36217.18379,5252.784886,93374.64803,147769.2035,123328.3303,32057.85911,53393.17771,76009.25485,38878.68718,69767.18973,118754.1264,1807.578622,19453.38419,45761.38351,46981.67359,7739.64737,69306.24657,108912.9929
Octanoylcarnitine,399278.8934,730946.4084,282442.32,247818.7047,390692.2512,291883.9773,447594.3752,1026653.313,195231.0546,1089662.39,558865.9485,693484.7259,326358.9743,253902.1111,123863.9076,370923.714,902427.0523,809811.1422,332017.4605
Uridine,144544.4756,188410.6025,31670.98763,170151.6841,205004.3239,122563.5284,116246.3637,323419.6398,135856.548,183214.2958,355853.6799,442674.3119,117094.3679,117052.1224,147778.3528,216991.4506,410657.1709,180815.5337,372061.7133
Hypoxanthine,1228878.533,844037.3155,237463.0118,642000.5172,1307693.038,708640.933,397405.8319,1137664.578,553490.2553,995888.4421,477637.3363,1189774.805,734242.9264,462716.3096,213014.6239,573267.7022,1694277.964,1045030.37,713441.9617
Hexanoylcarnitine,3005633.529,6091124.068,2620794.619,985190.4522,5735178.843,4653347.506,2281915.668,9953973.022,2055890.272,7456366.435,2382126.136,8105685.349,3978078.31,1287197.966,1295071.599,2857550.982,8085013.321,8628693.916,4036449.258
Creatinine,15625223.28,21599327.29,5915707.382,8854436.432,21853448.4,10657218.76,5432349.386,18969661.99,8875477.783,21145861.75,13316771.86,24203427.25,11256385.07,11376522.61,5831997.214,9013748.451,22176243.78,17449692.52,11851431.89
Adenosine,1016997.903,394099.1088,22070.98069,486668.4607,1080276.107,314443.5818,387098.7986,372172.1509,567199.9807,322201.9927,2194417.632,1721837.956,11340.20035,682771.7743,619564.0918,968786.7026,41452.42475,431912.495,1365097.966
Isovalerylcarnitine,11555561.66,13587474.72,5346050.217,5900630.078,21708205.94,13889683.49,5516166.515,17101597.65,9302169.631,19308088.47,13249858.19,17600954.74,7390262.408,4759734.063,3935212.845,8704502.855,18432657.71,19078140.98,12318151.79
Glycocholate,93.25944999,118.9646288,22.95098492,14.26026243,106.7328543,50.43260733,3.45543571,145.2263111,22.18898797,10.43854951,679.4568702,244.4760169,45.29034772,21.45986689,50.20895469,57.45736014,186.8676855,173.6755221,21.35720065
Butyrylcarnitine,487881.8112,1162642.245,279915.9278,447337.2676,4394967.552,3303214.115,566665.2956,3402410.143,1662388.145,3119500.991,1764115.001,817151.0088,2055011.565,672506.5739,791062.7485,1401298.351,2175576.025,3018655.617,3046968.778
Gulonolactone,46.68303103,141.7275882,9.107929602,37.43775141,481.080012,1088.605974,105.3443383,398.852146,119.2549978,601.596626,919.6594484,179.5980967,1109.25567,559.8987861,125.0392519,25.60008522,26.88903397,973.3823563,43.85883923
N-Acetylglutamate,3948.175906,8053.15214,3565.464146,7786.901596,15220.73632,18353.02797,5365.939589,21324.41434,2133.462921,82749.07758,8793.57619,13388.43401,13525.35501,1446.185684,13553.99488,2496.933533,19300.49921,7882.097411,4122.182209
Inosine,747816.4231,251049.8133,24101.91527,114576.1409,385515.6179,232823.9052,224068.5958,104040.6398,125600.9492,508760.9311,211983.827,445648.9441,122273.6926,143140.4721,200803.9864,202833.176,172601.3651,144218.3484,160234.2638
Mannose/allose/fructose/myoinositol,56726.6761,35784.47354,28548.76302,32447.74056,37078.76488,22251.57311,17536.28758,83425.40919,9894.754196,13598.03076,28154.90306,52159.91699,28795.11629,48305.32315,21904.92281,43865.44176,52385.03877,34520.78366,8520.215575
Propionylcarnitine,6192171.647,15672450.01,4111426.668,3232520.612,15837294.26,10335518.68,4267017.782,14324771.66,6088883.164,17380659.3,10098038.68,11996819.82,6885542.609,2579289.592,2206281.781,8110770.529,11675317.17,17006754.55,8421456.712
Riboflavin,2472.416199,1652.326992,163.3822205,1660.497673,1182.361125,1524.444098,632.9758859,1609.532448,2061.163365,1412.73819,1588.010072,3947.652722,3038.878735,1284.261874,331.3581129,1439.192946,3223.508604,2790.171109,1122.879543
Xanthurenate,938.5702468,6142.813647,293.3050458,210.7215335,2106.210332,2712.884673,480.799222,2369.211603,915.660465,1517.511863,1512.751941,4454.121585,2469.378871,1488.406752,476.1127973,932.9536971,2731.383598,2842.996361,653.5730028
Pyridoxine,537.6487988,1017.762781,10.13948139,154.5430267,896.8327056,409.2997495,190.1655263,560.5621256,289.7363845,765.7358995,373.8411932,1001.838768,455.6511546,461.7507414,250.4112451,360.9715897,660.2632152,201.9499518,370.7754723
Guanine,724215.2226,634842.947,686.6120743,524012.7134,666837.0174,580256.7736,365240.6503,1576.536424,287944.4425,1138025.094,517197.3179,1209675.961,471978.1344,380721.6286,345762.8588,677326.9193,727613.4511,55330.54369,605547.9519
1-Methylnicotinamide,2842.472402,36379.3515,1594.760114,1502.953785,12121.76754,6121.446743,1318.044805,5425.433754,1044.770628,10482.75253,3343.878904,27683.03786,27133.58393,21319.08439,1603.071731,2230.691182,6354.817128,11802.76373,1547.728826
Xanthosine,407.6977146,728.2136455,334.3912332,202.9799787,586.1219584,367.2628322,175.1137969,1131.948412,221.1731662,322.1764926,337.9605605,433.7952609,369.8811284,273.4318507,93.45633233,281.5264053,850.4915342,989.008265,184.2220133
p-Octopamine,3117.301286,4117.014812,1364.061624,2256.67861,2745.73964,1711.699033,1592.072245,3328.902221,2230.135857,3410.001157,2615.113006,8033.310506,2215.854321,1664.492675,979.055689,2378.710927,4312.433613,5009.856366,2629.690392
5-Methylcytosine,1977.276179,1814.296433,730.0736312,260.7781703,803.7103081,698.6518318,171.6340638,1213.423319,264.5614458,1060.700282,890.6723722,1272.321984,277.9605496,615.2317736,330.9697326,704.177875,69.14038499,1708.210059,414.4841057
Normetanephrine,420.9133388,352.4826567,135.3332369,220.5585225,592.2140379,753.7921742,452.7486323,1207.166874,380.0914362,1554.946484,1037.788068,1478.967035,300.7430464,370.1849973,182.8165561,211.4133137,1099.25606,785.7887185,794.4590038
Deoxycarnitine,422520.4909,231528.5076,105604.7045,153129.3068,400316.9824,169751.6509,125172.0565,632469.2431,106443.9133,358000.0254,41695.31047,573747.7791,68419.25354,65156.33812,34532.98407,312312.9344,273895.2195,617157.1434,358727.0479
4-Guanidinobutanoate,506814.2205,288261.8216,125942.0516,178596.8616,441372.9033,214250.8652,186896.6015,807785.3581,134312.3431,492113.0931,47312.90413,712343.798,78340.30266,92683.15141,42711.74103,342804.2054,340958.859,801174.5392,476156.1668
Acetylcarnitine,15921334.34,23882128.01,7332877.715,6144968.171,28898439.56,16893154.98,7375047.03,28365954.03,10828662.15,27614986.05,17272168.21,29873388.47,15828009.53,8948218.635,6271468.932,12060203.05,30737871.94,24475426.5,16897211.06
N-Acetylmannosamine,13937553.24,15830757.58,5465479.662,7371193.163,12074427.67,9399949.374,5269734.84,18772077.37,7571512.14,8476680.243,13619100.32,19579962.45,6848875.633,7769233.389,5884066.749,9263666.447,19710199.09,12126846.32,11497037.09
Phenylalanine,3360409.025,4508100.487,1571690.601,1632064.381,4554408.116,2798147.286,1509250.85,4955995.724,1903369.09,5588301.548,3503351.413,4852908.609,2248576.958,1978745.001,1136913.663,1760512.9,4045178.58,4192937.763,2827438.087
Epinephrine,1116.296639,1553.21915,627.9806054,527.9301534,1833.016975,844.2429897,367.9000845,1583.697713,636.1351149,1864.568494,1242.665047,2010.88438,705.4521545,512.5798234,399.8016608,679.0806706,1366.266575,1671.998778,971.9034659
Tryptophan,100240.4235,201097.9133,84355.1461,13656.80533,145354.2909,72676.60927,26410.46548,111520.9335,25104.61605,253261.0783,74289.89629,91675.23916,54138.91744,51765.6594,39049.34009,44424.66931,28215.3646,133985.9089,41126.01911
Leucine,1471721.281,2345446.737,823048.704,629588.6594,2002264.725,1160126.098,605556.2148,2062105.43,767795.4638,2881561.055,1530734.712,1982032.687,838552.6608,853600.607,582013.8382,825836.5101,1437423.632,2046494.037,1079505.756
Guanosine,34687.21108,27113.82632,533.4973528,44287.21856,5159.557969,12123.02195,16775.39693,348.6840348,17885.55854,67448.57059,11627.90332,52619.89133,25083.72286,12487.39899,17389.03457,18304.77259,58646.49426,4039.99456,38002.90642
Betaine,3304807.695,1313418.545,706841.8154,1185525.764,3045870.488,2822555.888,1062105.496,780743.438,380621.2637,2588859.812,253644.1446,3454645.018,295300.8978,805339.7892,314955.0708,1111762.921,2630856.857,3714105.769,2591993.933
N-Acetylcysteine,28642.14985,33896.70839,12872.47266,5047.580254,28311.72892,14575.32784,8343.000444,10435.21417,9851.08537,31377.77627,7988.276441,24599.81602,27246.12495,12705.8521,3709.646261,24477.83432,38771.07426,20386.36924,12511.97815
N-Acetylputrescine,56919.39814,123809.9338,36295.95815,6985.080388,77715.51275,80754.64075,19278.09983,36253.80054,17063.08462,75862.95314,100604.546,58775.84133,69104.08919,115184.5075,26022.39781,18302.05838,32947.16247,112923.0554,32215.4746
Isoleucine,11463234.58,16222287.2,5520684.791,4686383.745,13766376.23,9005278.306,4678154.736,15050359.85,4737048.672,18534150.75,12034494.2,14665448.1,6260243.26,6495204.934,4356875.605,5919374.72,11694684.76,14886217.78,7270074.923
Diethanolamine,500.2076755,633.2600175,312.8077819,402.7300371,1411.388413,522.2993273,634.4657984,576.8798422,640.4115839,1155.26422,699.6298366,615.2354958,454.2838982,178.0532028,313.095218,592.3432075,1470.089219,1086.368548,683.2291178
Ethanolamine,233702.6436,378211.668,114755.9295,121850.5522,362868.4186,220619.8392,130332.2847,300496.0176,115912.1552,371357.3167,337866.1161,389581.1852,182174.3614,137672.5997,107251.7854,169897.2035,284742.3063,355330.2038,255769.7891
Methionine,32487.9959,55097.72462,23143.37144,5679.988684,60445.64648,35696.31642,14960.13622,73197.44904,15057.57474,125355.0219,63320.00436,48261.78857,23719.21888,27518.74774,17225.23116,24405.03946,9453.646744,82366.61761,15592.98563
Glutarylcarnitine,47483.51396,161540.2258,63471.76153,22277.51273,72535.58209,87382.42342,35818.35358,71877.1959,17925.28871,194355.5791,21207.42807,114463.4477,39091.25971,36009.24174,14245.2926,60580.54558,35653.17998,209216.3982,87025.27211
Trigonelline,358355.1984,2651698.212,12399.17314,92080.40386,1166501.359,157570.6197,92155.05396,1326167.537,26677.02363,365968.7968,22247.8377,489045.0081,582838.4638,1295197.696,253842.8176,118361.0504,577619.6793,788072.5716,142485.9142
Thiamine,15623.93973,4579.826081,899.3990989,13016.05585,5214.7893,2338.2385,1376.048226,3004.572454,0.813223812,4366.622579,6395.96181,7118.028166,1478.671059,3163.941906,2182.850338,1165.69114,167.7024568,5244.778305,4377.611436
Carnitine,3272379.503,5688583.042,2039463.455,1848476.558,4384442.605,2708152.972,1330853.281,4502783.82,2554897.709,6158447.985,1920733.327,4701678.918,2312623.515,2059156.415,1159569.949,2613182.955,6332179.011,5558313.985,3285465.302
Valine,2380807.951,3446415.958,1255120.729,827038.1717,3296386.177,1871688.661,1019085.473,3578746.425,984339.4812,4229382.003,2951372.525,3585049.816,1384372.408,1463109.078,1100475.568,1480130.21,1618597.78,3188857.444,1424765.577
Taurine,13742.28376,15361.58223,7229.558363,7462.686319,13858.80486,18354.85597,7298.908867,18335.59105,8797.625267,48597.02852,19431.8157,24039.59737,11061.56684,18061.08769,6505.814335,5917.726475,32521.47496,26686.20837,15305.22219
